genre	key	timesignature	tempo	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	t43	t44	t45	t46	t47
Rap	1	4	92.198	28.651	71.792	-54.726	-44.962	29.278	43.022	77.487	-9.085	-68.286	17.583	-72.958	-81.389	-31.37	16.024	-24.665	-12.687	98.529	108.91	65.115	30.765	156.867	34.721	1.331	-56.42	-13.162	27.982	16.321	75.399	33.902	-33.723	-29.379	-39.149	21.119	111.489	-21.554	-44.917	-65.017	-26.625	30.535	27.601	44.074	27.472	4.338	27.112	10.434	73.304	62.617	31.022
Pop_Rock	6	4	121.274	-14.278	-26.884	-29.124	-49.901	30.162	15.629	0.854	21.002	44.538	27.4	32.727	7.428	44.848	61.741	13.114	46.718	82.846	51.156	31.493	-27.475	-14.875	-14.721	38.917	-10.532	-36.593	-18.404	-65.697	-33.371	-55.778	-36.718	14.667	7.059	-9.183	-57.146	-15.525	-51.188	-48.397	-6.626	-21.01	-7.12	-6.522	-28.38	-32.903	-61.945	-60.826	-55.179	-6.99	25.717
Pop_Rock	0	4	119.293	37.382	51.738	39.92	47.447	31.43	37.666	43.919	34.23	67.392	32.154	47.772	17.527	53.966	30.976	35.823	11.896	18.929	12.545	-22.159	-26.22	11.021	11.979	5.332	34.385	40.464	51.632	26.862	41.854	44.065	4.941	16.526	-13.954	50.898	24.791	64.585	45.058	11.443	75.842	41.722	41.106	24.549	9.492	6.086	-49.592	-67.673	-38.506	1.233	18.738
Pop_Rock	2	4	129.738	51.583	4.769	36.014	35.48	24.631	25.351	23.133	49.226	-0.228	-1.464	30.727	25.552	15.308	42.475	31.38	-6.251	29.351	47.509	44.228	16.703	12.763	47.142	27.583	23.726	0.256	33.765	27.856	9.719	38.068	28.954	12.351	31.516	22.514	36.516	27.659	55.478	15.059	17.021	3.027	-0.524	40.134	31.79	6.041	42.602	-20.151	36.588	11.048	6.081
Pop_Rock	4	4	86.643	3.753	-1.699	-16.05	40.496	22.102	69.41	99.867	67.191	-0.679	26.822	32.271	-2.517	-21.735	-46.013	-28.109	-35.15	69.694	70.28	42.349	-26.721	-31.163	54.86	78.794	29.037	26.295	66.335	66.545	-4.849	55.035	17.645	-58.45	-7.521	56.384	20.539	-39.368	30.279	32.377	48.448	54.329	34.054	35.951	31.645	-39.086	-81.541	48.317	-5.952	36.672	-6.151
Pop_Rock	7	4	119.826	-165.682	-64.85	-150.102	-32.708	-40.219	47.67	-117.432	-68.712	-159.372	-105.999	-47.476	-60.055	-122.813	-61.468	-93.903	-117.373	-34.016	-22.885	-139.349	-80.267	-157.968	-175.686	-34.037	-15.3	-115.586	-39.537	-4.25	-45.778	-39.807	-35.358	10.724	-31.59	-50.815	12.575	-129.766	-153.049	-24.085	-30.462	-125.118	-165.819	-74.951	-100.481	-148.315	-28.445	-35.647	-135.812	-186.979	-65.314
Pop_Rock	7	4	166.862	50.304	62.174	54.241	62.91	32.099	3.459	22.525	79.006	58.345	32.167	13.712	-6.949	17.714	19.017	17.629	-6.336	-22.527	3.061	23.826	-22.025	-33.428	-34.126	-50.497	-43.605	28.315	8.478	-19.629	-14.28	-3.569	-20.136	-23.031	-1.076	41.437	19.286	1.557	-33.951	-26.188	-40.237	-19.596	-17.722	-10.933	2.593	-28.473	-18.083	-10.309	27.842	7.985	-8.8
Pop_Rock	4	4	138.007	-23.059	-53.12	-70.285	-13.816	-20.636	-58.431	-22.672	-35.997	-4.103	-63.755	-14.862	-24.622	9.099	12.265	-36.776	-2.035	-11.072	58.335	146.231	15.348	13.757	-1.674	6.046	31.192	18.444	12.803	28.575	12.312	47.405	0.618	66.411	7.232	1.748	24.946	-41.458	14.439	-39.835	8.35	-69.786	16.419	48.013	49.449	18.853	61.866	22.768	31.971	55.954	69.61
Blues	2	4	89.984	107.006	86.494	50.894	59.759	32.146	-36.48	-7.603	-6.269	-67.058	-10.976	-20.736	-94.618	-70.727	-27.459	-18.142	-20.776	11.505	-33.745	18.056	-27.203	16.377	110.244	48.208	60.879	98.733	33.226	41.556	8.456	-17.493	-43.026	-62.843	-6.067	-70.898	-16.979	-98.499	-82.01	-27.655	-17.561	-17.129	-0.778	28.088	-39.678	-14.1	38.16	60.835	58.591	101.862	27.045
Pop_Rock	0	4	141.919	-65.277	-53.479	-69.453	-67.161	13.805	52.55	-55.042	-43.167	5.349	-74.239	-89.719	-89.749	-91.528	-65.965	-3.277	53.318	-61.996	-108.269	-83.524	-31.737	-100.318	-107.891	-102.972	-94.863	-75.449	-2.994	19.368	-75.421	-107.994	-83.8	10.582	-41.966	-69.289	-41.249	-48.568	-31.009	22.056	69.237	-48.439	-57.432	16.436	-25.648	-51.653	-49.372	-49.122	-44.665	10.387	61.418
Jazz	7	5	86.091	-65.304	-57.207	-81.212	-109.97	-76.853	-130.265	-80.312	-109.966	-63.189	-44.576	-109.538	-109.001	-73.63	-55.678	-70.762	-65.545	-69.197	-68.216	-67.984	-118.586	-120.073	-136.621	-64.197	-55.48	-121.391	-33.816	-65.252	-155.651	-107.37	-31.102	-7.245	-15.622	-110.675	-139.862	-90.265	-75.722	-134.816	-97.756	-111.913	-33.419	-77.449	11.292	-65.506	-70.214	-49.273	-64.101	-48.155	-17.69
Pop_Rock	11	1	133.144	-26.046	-26.054	-35.239	-15.243	2.966	-31.045	-41.314	-80.572	-32.329	-55.569	-41.311	-30.542	-30.069	-49.534	-7.279	-57.36	-81.903	-9.089	-31.622	-57.435	-50.638	-70.78	-85.453	-56.269	-46.773	-60.182	-48.052	-67.882	-37.369	-72.464	-24.044	-54.567	-37.492	-15.369	-56.858	-27.199	-42.947	-41.941	-39.603	-71.086	-71.193	-57.955	-58.733	-1.83	-19.724	-29.738	-25.243	-43.732
Pop_Rock	0	4	84.164	-44.756	9.888	6.24	-8.591	40.644	39.901	1.068	-33.534	10.369	21.695	49.214	27.136	7.825	16.567	8.514	43.044	53.909	28.038	-6.018	-21.575	-22.811	-1.969	12.364	26.488	-5.038	-30.187	-19.665	-39.167	-13.484	-29.406	-29.092	11.453	28.482	-34.975	-21.041	-33.94	-6.832	-3.381	-12.386	-12.702	-10.619	-14.484	-22.756	-14.563	-8.888	-24.54	-24.112	-19.886
Pop_Rock	0	4	116.823	65.443	41.483	64.864	79.115	5.585	37.352	62.046	55.607	8.419	23.611	53.621	6.816	24.299	14.164	-7.034	62.802	6.977	34.739	-5.035	40.065	51.995	65.905	32.973	24.076	64.92	92.64	31.937	15.147	30.841	37.818	61.415	-4.708	-4.095	24.463	26.05	1.347	49.424	61.391	-3.297	34.492	42.613	39.675	-16.922	-28.38	1.938	19.886	47.651	-15.623
Pop_Rock	8	1	140.995	24.377	39.327	48.376	28.083	31.705	34.765	58.501	57.467	45.568	59.772	66.746	49.191	42.583	52.413	43.622	81.505	37.404	92.39	46.967	51.87	22.535	20.239	37.955	60.272	81.11	90.248	63.885	72.607	45.078	101.967	44.547	44.819	34.316	57.514	43.967	14.385	20.865	46.134	104.842	64.689	65.208	92.484	88.973	80.441	75.698	87.696	107.59	20.161
Electronic	0	4	63.017	-13.742	-0.254	-1.659	-32.886	-20.621	-20.982	-17.867	24.128	25.11	23.91	-37.208	-28.806	-25.148	-4.752	-22.305	7.068	-20.099	-12.157	-20.385	-48.023	-4.051	-1.964	-4.893	-22.766	-11.784	-32.977	15.783	21.616	-34.71	10.192	-33.38	-19.12	-42.273	-10.313	-84.163	-23.128	-52.317	-39.37	-68.163	-25.15	-37.858	5.126	-31.114	-36.587	-30.089	-6.365	-82.884	-43.707
Pop_Rock	9	5	84.69	32.462	60.21	38.052	51.934	58.361	45.911	47.796	36.085	5.381	-9.351	6.216	-33.302	-30.308	-13.321	-59.389	100.451	79.677	17.622	63.982	19.343	85.166	107.526	29.493	-10.858	9.708	24.573	25.788	21.218	23.595	35.685	31.489	29.616	7.507	20.243	0.226	-2.445	-6.811	-50.72	-116.342	-83.506	-118.673	-38.537	-76.529	-59.756	79.084	39.257	45.485	20.364
Pop_Rock	2	4	115.606	-30.964	-28.714	-10.789	3.095	-12.157	-2.563	-10.352	-19.118	-4.751	-16.822	-9.991	-7.261	-10.529	-11.438	-13.058	-14.187	-0.726	6.495	7.362	4.61	-6.017	-4.816	5.693	5.703	8.45	-5.84	-18.762	-32.129	-31.46	20.119	-19.782	-39.178	-73.222	-42.984	-91.463	-37.898	-82.472	-67.157	-64.703	-87.174	-86.018	11.12	-53.08	-48.65	52.619	-27.761	-44.097	-23.923
Rap	1	5	85.008	-6.937	-3.583	-5.468	23.686	41.586	35.051	-52.335	61.291	-24.412	69.713	5.753	32.586	-48.172	79.32	26.235	84.526	30.292	35.508	-33.797	16.006	-33.513	-75.597	-44.51	9.259	51.632	56.365	-57.353	-23.17	55.021	64.455	46.555	-32.699	57.09	-18.807	23.057	93.582	58.898	-76.939	-32.58	39.143	136.731	19.204	30.036	-39.704	-53.558	-0.361	49.707	-38.561
Jazz	1	4	45.527	-72.387	-94.838	-112.028	-85.82	-84.257	-52.222	-67.528	-93.098	-98.024	-123.909	-80.287	-77.397	-80.51	-36.238	-83.798	-64.299	-59.826	-99.861	55.953	34.085	-7.616	29.135	40.741	48.724	-68.475	-130.5	21.06	-8.998	49.329	37.006	35.366	-90.263	65.695	-3.152	-11.033	-22.223	50.75	-29.524	24.203	-36.948	-15.321	-12.592	-9.021	35.886	-2.32	17.342	38.007	46.457
Country	7	3	100.194	-59.385	-60.06	-16.681	-28.124	-16.59	-57.623	-46.005	-8.087	-35.537	-68.555	14.643	-25.584	-92.065	-29.405	25.741	-36.66	-17.937	-6.952	6.382	67.485	-69.846	-101.329	-76.984	-55.545	-52.266	-2.849	-29.017	-57.499	-93.257	-6.773	-36.053	-58.193	-51.88	-4.793	-54.332	-56.052	-64.036	4.839	28.756	-23.971	-21.027	3.111	34.528	41.987	-51.414	-77.219	45.678	-61.559
Pop_Rock	0	1	172.398	20.289	41.166	44.553	61.621	55.405	37.901	41.563	13.519	30.175	28.154	79.185	58.962	86.366	8.331	35.954	20.722	-11.6	-17.907	-35.024	-35.373	20.144	36.606	67.852	55.592	18.081	54.015	5.908	41.096	3.368	69.119	-39.745	45.568	22.887	54.255	14.376	54.829	43.26	56.1	31.05	1.177	88.805	21.093	17.88	20.423	59.117	-30.473	27.264	33.408
Pop_Rock	4	4	110.745	-45.561	-9.854	-64.506	-57.784	-34.625	-24.026	-10.385	16.856	-23.138	-4.691	-57.605	-66.511	-25.218	-8.928	-25.626	-17.076	-3.76	-48.785	-60.181	-35.506	-18.755	-0.927	-6.335	-19.146	-17.562	-64.324	-60.605	-50.231	-35.707	-30.296	-29.91	-19.583	-27.326	-12.237	-3.132	13.651	5.097	-6.496	-2.432	2.286	-35.303	-44.928	-23.094	1.304	-14.546	-16.656	5.165	-53.869
Pop_Rock	9	4	133.306	19.176	14.401	-4.752	66.245	17.215	-6.272	25.519	41.621	13.686	27.509	46.052	47.744	54.947	83.928	83.164	65.219	63.562	21.176	63.499	20.469	-2.021	62.758	6.481	108.047	14.353	17.607	1.537	23.745	0.883	-25.423	-1.849	-1.071	43.331	-31.573	-3.921	36.677	6.035	3.372	46.53	10.808	23.199	27.049	-11.752	12.79	9.631	30.57	28.877	41.319
Pop_Rock	4	3	152.267	12.433	95.067	-19.597	67.9	-45.233	40.973	98.54	15.234	7.748	-46.147	2.419	-28.919	143.703	40.69	136.97	82.895	-22.192	81.276	0.936	-19.857	-45.513	-25.419	-15.291	-39.146	58.118	102.872	88.746	-44.388	47.254	-10.758	-10.304	22.708	-11.465	-35.163	-81.263	-73.066	-71.838	32.79	122.278	-2.076	13.019	5.775	-77.978	10.968	-11.65	-51.845	-84.212	-87.504
Pop_Rock	7	4	152.127	40.66	29.485	44.66	28.045	27.666	43.388	70.043	110.342	43.975	24.518	44.033	42.341	18.857	20.424	28.536	22.996	47.36	33.546	48.703	14.121	35.798	47.393	42.172	50.356	56.412	12.906	45.57	53.825	41.951	54.827	24.871	-8.094	27.086	29.649	46.011	15.802	-8.354	58.13	-1.11	8.228	-14.627	36.236	6.309	32.26	44.933	24.894	23.417	24.538
Pop_Rock	4	3	105.994	-55.954	-62.675	-46.118	56.426	-101.039	-134.438	-106.997	-122.182	-100.788	-105.933	-98.213	-94.563	-114.987	-23.011	-29.356	-42.741	126.402	-16.841	-34.704	-74.258	-64.647	-60.157	-29.715	-4.805	-40.102	-58.325	-40.956	-42.064	-80.083	-130.692	-118.311	-115.001	-87.073	-119.761	-97.481	-81.704	91.317	-12.66	-51.351	34.039	-59.379	-31.885	-63.073	-79.166	59.193	-66.092	-84.303	-35.188
Country	2	4	148.357	-14.398	-14.096	-44.213	-76.96	6.496	-53.38	-27.956	12.72	7.215	-34.157	-84.601	-29.113	-51.178	0.951	-47.916	-23.493	46.709	-39.915	-13.961	-35.969	-41.138	-70.171	-46.587	7.617	-12.416	-8.641	-26.945	-25.352	-44.002	-83.164	-28.321	-53.431	-34.195	-22.737	-64.139	-85.297	-52.476	-38.562	-91.084	-52.711	-53.442	-28.317	-52.851	-22.069	-48.975	0.863	-51.826	-70.513
Pop_Rock	6	4	89.495	78.795	71.423	61.107	85.166	37.46	67.797	-25.046	62.826	79.269	2.453	56.854	71.79	46.032	95.924	130.681	142.703	108.366	131.112	87.487	100.154	199.958	18.001	77.676	110.818	90.558	84.446	92.583	103.08	136.41	104.08	86.831	82.673	85.255	80.062	86.022	87.255	98.369	103.527	143.466	173.598	65.388	122.003	65.185	48.825	37.536	44.692	29.966	119.007
Pop_Rock	10	3	107.529	-1.861	47.46	43.039	40.8	53.224	32.722	24.318	53.683	28.495	48.548	18.127	55.186	34.302	-17.902	19.906	2.737	5.64	38.988	39.04	-10.368	26.825	2.573	1.575	30.502	27.363	-11.409	32.902	16.306	-8.197	27.903	61.936	54.626	53.048	68.892	44.483	53.973	71.186	41.584	87.4	57.584	6.372	5.061	31.887	24.918	44.55	46.983	37.628	25.868
